

 AStar finished. Time of algorithm: 13.514937 seconds.

Distance 958815.812168 meters.

The number of nodes visited is 6649 .

Node id:  308616015 | Distance:  943223.09  
Node id:  308616645 | Distance:  943147.84  
Node id:  248969157 | Distance:  943031.45  
Node id:  248969158 | Distance:  942713.29  
Node id:  248969159 | Distance:  942671.97  
Node id:  248969160 | Distance:  942562.24  
Node id:  248969145 | Distance:  942515.36  
Node id:  248969246 | Distance:  942132.02  
Node id:  248969247 | Distance:  941778.14  
Node id:  248969248 | Distance:  941534.14  
Node id:  248969249 | Distance:  941373.24  
Node id:  248969250 | Distance:  941335.19  
Node id:  248969251 | Distance:  941285.40  
Node id:  248969252 | Distance:  941051.76  
Node id:  248969253 | Distance:  940961.22  
Node id:  248969254 | Distance:  940795.43  
Node id:  248969255 | Distance:  940697.99  
Node id:  248969256 | Distance:  940395.30  
Node id:  248969257 | Distance:  940138.72  
Node id:  248969258 | Distance:  940094.50  
Node id:  248969259 | Distance:  939696.44  
Node id:  248969260 | Distance:  939379.60  
Node id:  248969261 | Distance:  938895.15  
Node id:  248969262 | Distance:  938833.90  
Node id:  248969263 | Distance:  938710.24  
Node id:  248969264 | Distance:  938641.95  
Node id:  248969265 | Distance:  938602.22  
Node id: 1250379069 | Distance:  938397.99  
Node id: 1250379075 | Distance:  938367.39  
Node id: 1250379017 | Distance:  938325.34  
Node id: 1250379048 | Distance:  938298.32  
Node id:  248969266 | Distance:  938228.50  
Node id:  248969267 | Distance:  937546.23  
Node id:  248969268 | Distance:  936917.89  
Node id:  248969269 | Distance:  936731.64  
Node id: 1250417015 | Distance:  936709.25  
Node id: 1250417191 | Distance:  936697.61  
Node id: 1250417078 | Distance:  936685.97  
Node id: 1250417000 | Distance:  936681.09  
Node id: 1250416956 | Distance:  936670.25  
Node id: 1250417216 | Distance:  936658.25  
Node id: 1250416888 | Distance:  936646.05  
Node id: 1250416960 | Distance:  936634.80  
Node id: 1250416973 | Distance:  936617.19  
Node id: 1250417122 | Distance:  936600.31  
Node id:  248969244 | Distance:  936579.42  
Node id:  248969245 | Distance:  936393.50  
Node id:  248969847 | Distance:  936349.19  
Node id:  248969848 | Distance:  936296.84  
Node id:  248969849 | Distance:  936242.87  
Node id:  248969850 | Distance:  936209.68  
Node id:  248969851 | Distance:  936130.77  
Node id:  248969852 | Distance:  936065.87  
Node id:  248969854 | Distance:  936019.07  
Node id:  248969855 | Distance:  935894.42  
Node id:  248969856 | Distance:  935840.05  
Node id:  248969857 | Distance:  935759.48  
Node id:  248969858 | Distance:  935653.99  
Node id:  248969859 | Distance:  935506.77  
Node id:  248969860 | Distance:  935363.88  
Node id:  248969861 | Distance:  935157.08  
Node id:  248969862 | Distance:  934866.03  
Node id:  248969863 | Distance:  934783.05  
Node id:  248969864 | Distance:  934317.23  
Node id:  248969865 | Distance:  933787.83  
Node id:  248969866 | Distance:  933705.05  
Node id:  248969867 | Distance:  933633.17  
Node id:  248969869 | Distance:  933444.95  
Node id:  248969870 | Distance:  933358.92  
Node id:  248969871 | Distance:  933211.59  
Node id:  248969872 | Distance:  933104.17  
Node id:  248969873 | Distance:  933010.20  
Node id:  248969874 | Distance:  932964.01  
Node id:  248969875 | Distance:  932839.68  
Node id:  248971084 | Distance:  932766.56  
Node id:  248971085 | Distance:  932421.53  
Node id:  248971086 | Distance:  932297.01  
Node id:  248971087 | Distance:  932229.35  
Node id:  248971088 | Distance:  932051.36  
Node id:  248971089 | Distance:  931994.49  
Node id:  248971090 | Distance:  931906.93  
Node id:  248971091 | Distance:  931675.64  
Node id:  248971092 | Distance:  931589.95  
Node id:  248971093 | Distance:  931385.39  
Node id:  248971095 | Distance:  931205.96  
Node id:  248971096 | Distance:  931126.42  
Node id:  248971097 | Distance:  931089.53  
Node id:  248971078 | Distance:  931013.40  
Node id:  248971079 | Distance:  930969.77  
Node id:  248971080 | Distance:  930920.55  
Node id:  248971081 | Distance:  930872.90  
Node id:  248971083 | Distance:  930773.77  
Node id:  248971497 | Distance:  930627.83  
Node id:  248971498 | Distance:  930456.47  
Node id:  248971499 | Distance:  930308.49  
Node id: 1228944406 | Distance:  930276.28  
Node id: 1228944413 | Distance:  930269.60  
Node id: 1228944441 | Distance:  930259.82  
Node id: 1228944416 | Distance:  930256.40  
Node id: 1228944408 | Distance:  930249.31  
Node id: 1228944410 | Distance:  930245.37  
Node id:  248971500 | Distance:  930217.06  
Node id:  248971501 | Distance:  930088.42  
Node id:  248971502 | Distance:  929848.99  
Node id:  248971503 | Distance:  929671.01  
Node id:  248971504 | Distance:  929389.64  
Node id:  248971505 | Distance:  929279.77  
Node id:  248971506 | Distance:  929212.29  
Node id:  248971507 | Distance:  929131.45  
Node id:  248971508 | Distance:  928997.93  
Node id:  248971509 | Distance:  928668.24  
Node id:  248971510 | Distance:  928589.03  
Node id:  248971512 | Distance:  928411.63  
Node id:  248971513 | Distance:  928013.57  
Node id:  248972842 | Distance:  927911.19  
Node id:  248972843 | Distance:  927868.41  
Node id:  248972844 | Distance:  927827.95  
Node id:  248972845 | Distance:  927781.59  
Node id:  248972846 | Distance:  927696.58  
Node id:  248972847 | Distance:  927633.35  
Node id:  248972848 | Distance:  927446.13  
Node id:  248972849 | Distance:  926821.37  
Node id:  248972851 | Distance:  926741.60  
Node id:  248972852 | Distance:  926639.05  
Node id:  248972853 | Distance:  925948.33  
Node id:  248972854 | Distance:  925845.39  
Node id:  248972855 | Distance:  925747.65  
Node id:  248972856 | Distance:  925692.40  
Node id:  248972857 | Distance:  925624.07  
Node id:  248972858 | Distance:  925513.66  
Node id:  248972859 | Distance:  925453.33  
Node id:  248972860 | Distance:  925399.19  
Node id:  248972861 | Distance:  925342.46  
Node id:  248972863 | Distance:  924961.50  
Node id:  248972864 | Distance:  924800.73  
Node id:  248972865 | Distance:  924532.83  
Node id:  248972866 | Distance:  924318.65  
Node id:  966970277 | Distance:  924238.19  
Node id:  966970253 | Distance:  924196.07  
Node id:  966970237 | Distance:  924159.19  
Node id:  966970282 | Distance:  924120.95  
Node id:  248972867 | Distance:  924117.48  
